Pick,Team,Player,Cost
1,Dez Nutt$ 4 Prez,Rob Gronkowski (NE - TE),56
2,Jefe,Antonio Brown (Pit - WR),64
3,Jefe,Odell Beckham Jr. (NYG - WR),62
4,Terrible Towelies,Julio Jones (Atl - WR),60
5,Dez Nutt$ 4 Prez,DeAndre Hopkins (Hou - WR),62
6,Cruz Control,David Johnson (Ari - RB),65
7,Brian's Unreal Team,Todd Gurley (LAR - RB),59
8,Dez Nutt$ 4 Prez,Brandon Marshall (NYG - WR),50
9,Show me your TDs,Eric Decker (Ten - WR),22
10,Brian's Unreal Team,Emmanuel Sanders (Den - WR),19
11,Thuney Or Not Thuney,Ezekiel Elliott (Dal - RB),57
12,Mark,Adrian Peterson (NO - RB),60
13,Brian's Unreal Team,Stephen Gostkowski (NE - K),5
14,Cruz Control,A.J. Green (Cin - WR),52
15,Division Champs,T.Y. Hilton (Ind - WR),34
16,Show me your TDs,Lamar Miller (Hou - RB),53
17,Teddy KGB,Mike Evans (TB - WR),40
18,Injured Easley,Le'Veon Bell (Pit - RB),55
19,Injured Easley,LeSean McCoy (Buf - RB),39
20,Terrible Towelies,Allen Robinson (Jax - WR),50
21,The Sharknados,Sammy Watkins (Buf - WR),31
22,Terrible Towelies,Thomas Rawls (Sea - RB),34
23,Division Champs,Demaryius Thomas (Den - WR),30
24,Teddy KGB,DeVante Parker (Mia - WR),14
25,Peanutbutter Gumball,Alshon Jeffery (Phi - WR),30
26,Teddy KGB,Carlos Hyde (SF - RB),32
27,The Sharknados,Keenan Allen (LAC - WR),40
28,Peanutbutter Gumball,Mark Ingram (NO - RB),36
29,Division Champs,Doug Baldwin (Sea - WR),22
30,Thuney Or Not Thuney,Brandin Cooks (NE - WR),32
31,Peanutbutter Gumball,Dez Bryant (Dal - WR),44
32,Mark,Jordan Reed (Was - TE),25
33,The Sharknados,Andrew Luck (Ind - QB),25
34,Mark,C.J. Anderson (Den - RB),32
35,Dez Nutt$ 4 Prez,Ben Roethlisberger (Pit - QB),21
36,Cruz Control,Cam Newton (Car - QB),32
37,Division Champs,Michael Floyd (Min - WR),10
38,Injured Easley,Tom Brady (NE - QB),16
39,Mark,Amari Cooper (Oak - WR),35
40,Division Champs,Jamaal Charles (Den - RB),34
41,Thuney Or Not Thuney,Eddie Lacy (Sea - RB),37
42,Brian's Unreal Team,Jordy Nelson (GB - WR),38
43,The Sharknados,Doug Martin (TB - RB),32
44,Show me your TDs,Devonta Freeman (Atl - RB),30
45,Peanutbutter Gumball,Aaron Rodgers (GB - QB),29
46,Jim Bob Cooters Men,Golden Tate (Det - WR),14
47,Jim Bob Cooters Men,Ryan Mathews (Phi - RB),19
48,Jefe,Russell Wilson (Sea - QB),21
49,Thuney Or Not Thuney,DeMarco Murray (Ten - RB),19
50,Thuney Or Not Thuney,Jarvis Landry (Mia - WR),14
51,Mark,Randall Cobb (GB - WR),24
52,Teddy KGB,Larry Fitzgerald (Ari - WR),12
53,The Sharknados,Kelvin Benjamin (Car - WR),15
54,Terrible Towelies,Julian Edelman (NE - WR),14
55,Teddy KGB,Travis Kelce (KC - TE),13
56,Teddy KGB,Donte Moncrief (Ind - WR),18
57,Jim Bob Cooters Men,Eli Manning (NYG - QB),7
58,Cruz Control,Seattle (Sea - DEF),4
59,Teddy KGB,Melvin Gordon (LAC - RB),17
60,Peanutbutter Gumball,Jeremy Hill (Cin - RB),24
61,The Sharknados,Latavius Murray (Min - RB),27
62,Jefe,Matt Forte (NYJ - RB),18
63,Division Champs,Giovani Bernard (Cin - RB),13
64,Show me your TDs,Jeremy Maclin (Bal - WR),16
65,Cruz Control,Greg Olsen (Car - TE),18
66,Jim Bob Cooters Men,Frank Gore (Ind - RB),12
67,Terrible Towelies,Jay Ajayi (Mia - RB),10
68,Jim Bob Cooters Men,Arian Foster (Mia - RB),20
69,Jim Bob Cooters Men,LeGarrette Blount (Phi - RB),7
70,Jefe,Jeremy Langford (Chi - RB),14
71,Division Champs,Blake Bortles (Jax - QB),7
72,The Sharknados,Brandon McManus (Den - K),2
73,Injured Easley,Drew Brees (NO - QB),13
74,Jim Bob Cooters Men,Carson Palmer (Ari - QB),11
75,Injured Easley,DeSean Jackson (TB - WR),12
76,Brian's Unreal Team,Jordan Matthews (Phi - WR),13
77,Peanutbutter Gumball,Delanie Walker (Ten - TE),13
78,Division Champs,Philip Rivers (LAC - QB),7
79,Show me your TDs,Marvin Jones Jr. (Det - WR),13
80,Injured Easley,DeAngelo Williams (Pit - RB),9
81,Show me your TDs,Jonathan Stewart (Car - RB),25
82,Cruz Control,Rashad Jennings (NYG - RB),10
83,Jim Bob Cooters Men,Sterling Shepard (NYG - WR),9
84,Injured Easley,John Brown (Ari - WR),16
85,Jim Bob Cooters Men,Los Angeles (LAR - DEF),2
86,Brian's Unreal Team,Derrick Henry (Ten - RB),14
87,Jim Bob Cooters Men,Matt Jones (Was - RB),8
88,Injured Easley,Josh Gordon (Cle - WR),18
89,Thuney Or Not Thuney,Danny Woodhead (Bal - RB),8
90,Division Champs,Coby Fleener (NO - TE),11
91,Cruz Control,Tyler Lockett (Sea - WR),9
92,Mark,Chris Ivory (Jax - RB),8
93,Peanutbutter Gumball,Allen Hurns (Jax - WR),10
94,Terrible Towelies,Julius Thomas (Mia - TE),9
95,Show me your TDs,Mason Crosby (GB - K),1
96,Brian's Unreal Team,Duke Johnson Jr. (Cle - RB),8
97,Thuney Or Not Thuney,Mohamed Sanu (Atl - WR),5
98,Thuney Or Not Thuney,Dion Lewis (NE - RB),8
99,Peanutbutter Gumball,Andy Dalton (Cin - QB),4
100,Division Champs,T.J. Yeldon (Jax - RB),7
101,Terrible Towelies,Tyrod Taylor (Buf - QB),3
102,Teddy KGB,Ameer Abdullah (Det - RB),13
103,Jefe,Tavon Austin (LAR - WR),6
104,Thuney Or Not Thuney,Zach Ertz (Phi - TE),10
105,Show me your TDs,Michael Crabtree (Oak - WR),9
106,Show me your TDs,Antonio Gates (LAC - TE),7
107,Injured Easley,Travis Benjamin (LAC - WR),7
108,Brian's Unreal Team,Kirk Cousins (Was - QB),5
109,Brian's Unreal Team,Carolina (Car - DEF),4
110,Teddy KGB,Dwayne Allen (NE - TE),7
111,Teddy KGB,Jameis Winston (TB - QB),9
112,Division Champs,James White (NE - RB),2
113,Brian's Unreal Team,Arizona (Ari - DEF),2
114,Show me your TDs,Bilal Powell (NYJ - RB),2
115,Jim Bob Cooters Men,Kevin White (Chi - WR),4
116,Teddy KGB,Spencer Ware (KC - RB),5
117,Teddy KGB,Willie Snead (NO - WR),6
118,Teddy KGB,Gary Barnidge (Cle - TE),7
119,Division Champs,Denver (Den - DEF),4
120,Injured Easley,Corey Coleman (Cle - WR),3
121,Show me your TDs,Devin Funchess (Car - WR),4
122,Terrible Towelies,Charles Sims (TB - RB),5
123,Division Champs,Houston (Hou - DEF),2
124,Brian's Unreal Team,Kamar Aiken (Ind - WR),3
125,Cruz Control,Adam Vinatieri (Ind - K),2
126,Brian's Unreal Team,Victor Cruz (Chi - WR),5
127,Jefe,Justin Forsett (Den - RB),6
128,Division Champs,Stefon Diggs (Min - WR),6
129,Terrible Towelies,Marcus Mariota (Ten - QB),4
130,Brian's Unreal Team,Isaiah Crowell (Cle - RB),9
131,Cruz Control,Tajae Sharpe (Ten - WR),2
132,Jim Bob Cooters Men,Martellus Bennett (GB - TE),5
133,Teddy KGB,Devontae Booker (Den - RB),3
134,Injured Easley,Graham Gano (Car - K),1
135,Brian's Unreal Team,Jason Witten (Dal - TE),4
136,The Sharknados,Steve Smith Sr. (Bal - WR),2
137,Injured Easley,Kansas City (KC - DEF),4
138,The Sharknados,Markus Wheaton (Chi - WR),2
139,Mark,Kenny Stills (Mia - WR),2
140,The Sharknados,Darren McFadden (Dal - RB),2
141,Division Champs,Justin Tucker (Bal - K),1
142,Show me your TDs,Christine Michael (Ind - RB),4
143,Mark,Derek Carr (Oak - QB),5
144,Jim Bob Cooters Men,Eric Ebron (Det - TE),3
145,Brian's Unreal Team,Vincent Jackson (TB - WR),12
146,Jim Bob Cooters Men,Connor Barth (Chi - K),1
147,Thuney Or Not Thuney,New England (NE - DEF),3
148,The Sharknados,C.J. Spiller (KC - RB),2
149,Terrible Towelies,Torrey Smith (Phi - WR),3
150,The Sharknados,Minnesota (Min - DEF),3
151,Show me your TDs,Cincinnati (Cin - DEF),1
152,Teddy KGB,Green Bay (GB - DEF),1
153,Thuney Or Not Thuney,Matt Ryan (Atl - QB),1
154,The Sharknados,Darren Sproles (Phi - RB),3
155,Show me your TDs,Tevin Coleman (Atl - RB),2
156,Mark,Oakland (Oak - DEF),1
157,Show me your TDs,Matthew Stafford (Det - QB),6
158,Jim Bob Cooters Men,Buffalo (Buf - DEF),1
159,Peanutbutter Gumball,New York (NYJ - DEF),1
160,Injured Easley,Reggie Bush (Buf - RB),1
161,The Sharknados,Tyler Eifert (Cin - TE),3
162,Terrible Towelies,C.J. Prosise (Sea - RB),1
163,Thuney Or Not Thuney,Davante Adams (GB - WR),1
164,The Sharknados,James Starks (GB - RB),2
165,Peanutbutter Gumball,Michael Thomas (NO - WR),2
166,Mark,Blair Walsh (Sea - K),1
167,Peanutbutter Gumball,Shane Vereen (NYG - RB),1
168,Injured Easley,Jimmy Graham (Sea - TE),4
169,Thuney Or Not Thuney,Jared Cook (Oak - TE),2
170,Terrible Towelies,Philadelphia (Phi - DEF),1
171,Peanutbutter Gumball,Dorial Green-Beckham (Phi - WR),2
172,Cruz Control,Tim Hightower (SF - RB),1
173,Mark,Phillip Dorsett (Ind - WR),3
174,Mark,Ryan Fitzpatrick (TB - QB),1
175,Peanutbutter Gumball,Shayne Graham (Atl - K),1
176,Injured Easley,Ted Ginn Jr. (NO - WR),2
177,Jefe,Zach Miller (Chi - TE),2
178,Terrible Towelies,Chris Boswell (Pit - K),1
179,Thuney Or Not Thuney,Austin Seferian-Jenkins (NYJ - TE),1
180,Cruz Control,Chris Hogan (NE - WR),1
181,Dez Nutt$ 4 Prez,Mike Wallace (Bal - WR),1
182,Mark,Virgil Green (Den - TE),1
183,Peanutbutter Gumball,Vance McDonald (SF - TE),1
184,Jefe,Pittsburgh (Pit - DEF),1
185,Terrible Towelies,Clive Walford (Oak - TE),1
186,Thuney Or Not Thuney,Steven Hauschka (Buf - K),1
187,Cruz Control,Ryan Tannehill (Mia - QB),1
188,Dez Nutt$ 4 Prez,Jerick McKinnon (Min - RB),1
189,Mark,Karlos Williams (Pit - RB),1
190,Peanutbutter Gumball,Nick Folk (TB - K),1
191,Jefe,Josh Brown (NYG - K),1
192,Terrible Towelies,Cairo Santos (KC - K),1
193,Cruz Control,Charles Clay (Buf - TE),1
194,Dez Nutt$ 4 Prez,DeAndre Washington (Oak - RB),1
195,Mark,Chandler Catanzaro (NYJ - K),1
196,Jefe,Rishard Matthews (Ten - WR),1
197,Cruz Control,Javorius Allen (Bal - RB),1
198,Dez Nutt$ 4 Prez,Dan Bailey (Dal - K),1
199,Jefe,Jay Cutler (Chi - QB),1
200,Cruz Control,Robbie Gould (SF - K),1
201,Dez Nutt$ 4 Prez,Indianapolis (Ind - DEF),1
202,Jefe,Jordan Cameron (Mia - TE),1
203,Dez Nutt$ 4 Prez,Sammie Coates (Pit - WR),1
204,Jefe,Terrance West (Bal - RB),1
205,Dez Nutt$ 4 Prez,Alex Smith (KC - QB),1
206,Jefe,Randy Bullock (Cin - K),1
207,Dez Nutt$ 4 Prez,Will Fuller V (Hou - WR),1
208,Dez Nutt$ 4 Prez,Ladarius Green (Pit - TE),1
209,Dez Nutt$ 4 Prez,Theo Riddick (Det - RB),1
210,Dez Nutt$ 4 Prez,Mike Nugent (Cin - K),1
